temp,temp
623,72.0
624,2012-06-17
625,74.0
626,2012-06-18
627,73.0
628,2012-06-19
629,73.0
630,2012-06-20
631,70.0
632,2012-06-21
633,73.0
634,2012-06-22
635,72.0
636,2012-06-23
637,73.0
638,2012-06-24
639,69.0
640,2012-06-25
641,72.0
642,2012-06-26
643,71.0
644,2012-06-27
645,71.0
646,2012-06-28
647,73.0
648,2012-06-29
649,73.0
650,2012-06-30
651,72.0
652,2013-06-01
653,75.0
654,2013-06-02
655,75.0
656,2013-06-03
657,75.0
658,2013-06-04
659,75.0
660,2013-06-05
661,74.0
662,2013-06-06
663,74.0
664,2013-06-07
665,74.0
666,2013-06-08
667,75.0
668,2013-06-09
669,75.0
670,2013-06-10
671,74.0
672,2013-06-11
673,75.0
674,2013-06-12
675,75.0
676,2013-06-13
677,74.0
678,2013-06-14
679,72.0
680,2013-06-15
681,74.0
682,2013-06-16
683,74.0
684,2013-06-17
685,74.0
686,2013-06-18
687,74.0
688,2013-06-19
689,74.0
690,2013-06-20
691,72.0
692,2013-06-21
693,70.0
694,2013-06-22
695,75.0
696,2013-06-23
697,74.0
698,2013-06-24
699,71.0
700,2013-06-25
701,71.0
702,2013-06-26
703,70.0
704,2013-06-27
705,73.0
706,2013-06-28
707,71.0
708,2013-06-29
709,71.0
710,2013-06-30
711,77.0
712,2014-06-01
713,77.0
714,2014-06-02
715,74.0
716,2014-06-03
717,73.0
718,2014-06-04
719,75.0
720,2014-06-05
721,75.0
722,2014-06-06
723,74.0
724,2014-06-07
725,74.0
726,2014-06-08
727,75.0
728,2014-06-09
729,75.0
730,2014-06-10
731,72.0
732,2014-06-11
733,74.0
734,2014-06-12
735,76.0
736,2014-06-13
737,76.0
738,2014-06-14
739,75.0
740,2014-06-15
741,75.0
742,2014-06-16
743,74.0
744,2014-06-17
745,72.0
746,2014-06-18
747,74.0
748,2014-06-19
749,75.0
750,2014-06-20
751,70.0
752,2014-06-21
753,71.0
754,2014-06-22
755,72.0
756,2014-06-23
757,71.0
758,2014-06-24
759,73.0
760,2014-06-25
761,74.0
762,2014-06-26
763,72.0
764,2014-06-27
765,74.0
766,2014-06-28
767,76.0
768,2014-06-29
769,72.0
770,2014-06-30
771,75.0
772,2015-06-03
773,75.0
774,2015-06-04
775,72.0
776,2015-06-05
777,70.0
778,2015-06-06
779,76.0
780,2015-06-07
781,78.0
782,2015-06-08
783,72.0
784,2015-06-09
785,74.0
786,2015-06-10
787,74.0
788,2015-06-11
789,72.0
790,2015-06-12
791,71.0
792,2015-06-13
793,79.0
794,2015-06-14
795,79.0
796,2015-06-15
797,76.0
798,2015-06-16
799,75.0
800,2015-06-17
801,72.0
802,2015-06-18
803,74.0
804,2015-06-19
805,76.0
806,2015-06-20
807,76.0
808,2015-06-21
809,77.0
810,2015-06-22
811,75.0
812,2015-06-23
813,76.0
814,2015-06-24
815,75.0
816,2015-06-25
817,75.0
818,2015-06-26
819,76.0
820,2015-06-27
821,76.0
822,2015-06-29
823,74.0
824,2016-06-01
825,70.0
826,2016-06-02
827,69.0
828,2016-06-03
829,70.0
830,2016-06-04
831,68.0
832,2016-06-05
833,70.0
834,2016-06-06
835,74.0
836,2016-06-07
837,75.0
838,2016-06-08
839,74.0
840,2016-06-09
841,71.0
842,2016-06-10
843,73.0
844,2016-06-11
845,75.0
846,2016-06-12
847,74.0
848,2016-06-13
849,76.0
850,2016-06-14
851,76.0
852,2016-06-15
853,76.0
854,2016-06-16
855,76.0
856,2016-06-17
857,75.0
858,2016-06-18
859,75.0
860,2016-06-19
861,75.0
862,2016-06-20
863,74.0
864,2016-06-21
865,73.0
866,2016-06-22
867,76.0
868,2016-06-23
869,74.0
870,2016-06-24
871,78.0
872,2016-06-25
873,71.0
874,2016-06-26
875,75.0
876,2016-06-27
877,75.0
878,2016-06-28
879,74.0
880,2016-06-29
881,77.0
882,2016-06-30
883,77.0
884,2017-06-01
885,76.0
886,2017-06-02
887,76.0
888,2017-06-03
889,76.0
890,2017-06-04
891,78.0
892,2017-06-05
893,76.0
894,2017-06-06
895,75.0
896,2017-06-07
897,75.0
898,2017-06-08
899,76.0
900,2017-06-09
901,78.0
902,2017-06-10
903,75.0
904,2017-06-11
905,73.0
906,2017-06-12
907,76.0
908,2017-06-13
909,76.0
910,2017-06-14
911,76.0
912,2017-06-15
913,77.0
914,2017-06-16
915,76.0
916,2017-06-17
917,77.0
918,2017-06-18
919,72.0
920,2017-06-19
921,77.0
922,2017-06-20
923,75.0
924,2017-06-21
925,82.0
926,2017-06-22
927,77.0
928,2017-06-23
929,76.0
930,2017-06-24
931,74.0
932,2017-06-25
933,73.0
934,2017-06-26
935,77.0
936,2017-06-27
937,77.0
938,2017-06-28
939,77.0
940,2017-06-29
941,76.0
942,2017-06-30
943,74.0
944,2010-06-01
945,73.0
946,2010-06-02
947,72.0
948,2010-06-03
949,74.0
950,2010-06-04
951,73.0
952,2010-06-05
953,72.0
954,2010-06-06
955,75.0
956,2010-06-07
957,74.0
958,2010-06-08
959,75.0
960,2010-06-09
961,73.0
962,2010-06-10
963,75.0
964,2010-06-11
965,76.0
966,2010-06-12
967,74.0
968,2010-06-13
969,74.0
970,2010-06-14
971,73.0
972,2010-06-15
973,73.0
974,2010-06-16
975,76.0
976,2010-06-17
977,75.0
978,2010-06-18
979,70.0
980,2010-06-19
981,75.0
982,2010-06-20
983,73.0
984,2010-06-21
985,74.0
986,2010-06-22
987,74.0
988,2010-06-23
989,74.0
990,2010-06-24
991,74.0
992,2010-06-25
993,70.0
994,2010-06-27
995,75.0
996,2010-06-28
997,74.0
998,2010-06-29
999,73.0
1000,2010-06-30
1001,74.0
1002,2011-06-01
1003,72.0
1004,2011-06-02
1005,73.0
1006,2011-06-03
1007,67.0
1008,2011-06-04
1009,69.0
1010,2011-06-05
1011,76.0
1012,2011-06-06
1013,73.0
1014,2011-06-07
1015,70.0
1016,2011-06-08
1017,72.0
1018,2011-06-09
1019,74.0
1020,2011-06-10
1021,72.0
1022,2011-06-13
1023,72.0
1024,2011-06-14
1025,75.0
1026,2011-06-15
1027,73.0
1028,2011-06-16
1029,73.0
1030,2011-06-17
1031,72.0
1032,2011-06-18
1033,74.0
1034,2011-06-19
1035,76.0
1036,2011-06-21
1037,72.0
1038,2011-06-22
1039,74.0
1040,2011-06-23
1041,70.0
1042,2011-06-24
1043,74.0
1044,2011-06-25
1045,74.0
1046,2011-06-27
1047,74.0
1048,2011-06-28
1049,71.0
1050,2012-06-21
1051,75.0
1052,2012-06-22
1053,75.0
1054,2012-06-24
1055,76.0
1056,2012-06-25
1057,77.0
1058,2012-06-26
1059,75.0
1060,2012-06-27
1061,74.0
1062,2012-06-28
1063,75.0
1064,2012-06-29
1065,76.0
1066,2012-06-30
1067,78.0
1068,2013-06-03
1069,78.0
1070,2013-06-04
1071,76.0
1072,2013-06-05
1073,78.0
1074,2013-06-06
1075,76.0
1076,2013-06-07
1077,76.0
1078,2013-06-08
1079,78.0
1080,2013-06-09
1081,79.0
1082,2013-06-10
1083,77.0
1084,2013-06-11
1085,76.0
1086,2013-06-12
1087,77.0
1088,2013-06-13
1089,77.0
1090,2013-06-14
1091,76.0
1092,2013-06-16
1093,78.0
